_iginx_key,device_id,device_name,install_date,location,model,status
2367991070034141869,D182,风机182,2026-05-31,C区,FX-003,offline
2381328998327278411,D167,风机167,2026-05-16,D区,FX-006,offline
2426906202215187598,D149,风机149,2026-04-28,B区,FX-006,offline
2437723028580534560,D032,风机032,2026-01-01,A区,FX-006,offline
2501664975083617355,D095,风机095,2026-03-05,D区,FX-006,offline
2551181718316084745,D006,风机006,2025-12-06,C区,FX-007,active
2570750627980151496,D162,风机162,2026-05-11,C区,FX-001,active
2572038420281478141,D155,风机155,2026-05-04,D区,FX-003,offline
2576340067102816071,D199,风机199,2026-06-17,D区,FX-002,maintenance
2671422746816124471,D093,风机093,2026-03-03,B区,FX-004,active
2685043517504561194,D152,风机152,2026-05-01,A区,FX-009,offline
2690389055794187250,D039,风机039,2026-01-08,D区,FX-004,active
2726053987191089225,D073,风机073,2026-02-11,B区,FX-002,maintenance
2821981348453117580,D041,风机041,2026-01-10,B区,FX-006,offline
2864996182955307094,D145,风机145,2026-04-24,B区,FX-002,maintenance
2881194463385242571,D180,风机180,2026-05-29,A区,FX-001,active
2883135780472890601,D110,风机110,2026-03-20,C区,FX-003,offline
2938761650427353240,D011,风机011,2025-12-11,D区,FX-003,offline
3150211451698567334,D030,风机030,2025-12-30,C区,FX-004,active
3289407275201230988,D119,风机119,2026-03-29,D区,FX-003,offline
3382780493856343398,D072,风机072,2026-02-10,A区,FX-001,active
3435288022068263385,D003,风机003,2025-12-03,D区,FX-004,active
3485630618166452374,D168,风机168,2026-05-17,A区,FX-007,active
3528416499353847988,D124,风机124,2026-04-03,A区,FX-008,maintenance
3579458297961948837,D132,风机132,2026-04-11,A区,FX-007,active
3641689409547972788,D154,风机154,2026-05-03,C区,FX-002,maintenance
3644125670932731743,D166,风机166,2026-05-15,C区,FX-005,maintenance
3695008333240913549,D177,风机177,2026-05-26,B区,FX-007,active
3698892975116355725,D097,风机097,2026-03-07,B区,FX-008,maintenance
3732629866718905003,D088,风机088,2026-02-26,A区,FX-008,maintenance
3803224660863934885,D100,风机100,2026-03-10,A区,FX-002,maintenance
3857550037852307681,D001,风机001,2025-12-01,B区,FX-002,maintenance
3863870683760994816,D010,风机010,2025-12-10,C区,FX-002,maintenance
3999423400092607504,D151,风机151,2026-04-30,D区,FX-008,maintenance
4091237956781695136,D077,风机077,2026-02-15,B区,FX-006,offline
4094686383913317608,D051,风机051,2026-01-20,D区,FX-007,active
4177779422556460043,D057,风机057,2026-01-26,B区,FX-004,active
4236865208700921981,D198,风机198,2026-06-16,C区,FX-001,active
4246172100402943146,D118,风机118,2026-03-28,C区,FX-002,maintenance
4291842028463327502,D115,风机115,2026-03-25,D区,FX-008,maintenance
4302286591613408504,D012,风机012,2025-12-12,A区,FX-004,active
4314810546612139709,D169,风机169,2026-05-18,B区,FX-008,maintenance
4394241031327805764,D999,风机123,2025-12-3,D区,FX-003,maintenance
4411600710609268572,D063,风机063,2026-02-01,D区,FX-001,active
4417555670823860271,D131,风机131,2026-04-10,D区,FX-006,offline
4440745748345517195,D042,风机042,2026-01-11,C区,FX-007,active
4446868992728311096,D112,风机112,2026-03-22,A区,FX-005,maintenance
4473996708114937801,D002,风机002,2025-12-02,C区,FX-003,offline
4478838170193938473,D104,风机104,2026-03-14,A区,FX-006,offline
4494727222695961124,D189,风机189,2026-06-07,B区,FX-001,active
4555370896004031231,D143,风机143,2026-04-22,D区,FX-009,offline
4566308228564473942,D029,风机029,2025-12-29,B区,FX-003,offline
4594299577494897654,D185,风机185,2026-06-03,B区,FX-006,offline
4650054759911646059,D009,风机009,2025-12-09,B区,FX-001,active
4685218571695094666,D008,风机008,2025-12-08,A区,FX-009,offline
4710939612250264809,D035,风机035,2026-01-04,D区,FX-009,offline
4729524758948332278,D007,风机007,2025-12-07,D区,FX-008,maintenance
4783369507208726134,D195,风机195,2026-06-13,D区,FX-007,active
4836490990856716170,D133,风机133,2026-04-12,B区,FX-008,maintenance
4882310826001226643,D068,风机068,2026-02-06,A区,FX-006,offline
4886201672629499727,D140,风机140,2026-04-19,A区,FX-006,offline
4958873132262012456,D120,风机120,2026-03-30,A区,FX-004,active
5007128591544989290,D113,风机113,2026-03-23,B区,FX-006,offline
5013786057109167564,D046,风机046,2026-01-15,C区,FX-002,maintenance
5040099361323676896,D188,风机188,2026-06-06,A区,FX-009,offline
5135250273050935925,D078,风机078,2026-02-16,C区,FX-007,active
5139555325655516393,D094,风机094,2026-03-04,C区,FX-005,maintenance
5213622855225531451,D137,风机137,2026-04-16,B区,FX-003,offline
5279001256546581445,D117,风机117,2026-03-27,B区,FX-001,active
5319440309546360296,D061,风机061,2026-01-30,B区,FX-008,maintenance
5338979215992697996,D111,风机111,2026-03-21,D区,FX-004,active
5348954093423467818,D146,风机146,2026-04-25,C区,FX-003,offline
5386899021230210342,D114,风机114,2026-03-24,C区,FX-007,active
5398100954008563225,D022,风机022,2025-12-22,C区,FX-005,maintenance
5448420545773296724,D018,风机018,2025-12-18,C区,FX-001,active
5453735543949767267,D187,风机187,2026-06-05,D区,FX-008,maintenance
5456553185000455881,D176,风机176,2026-05-25,A区,FX-006,offline
5474667336617389696,D179,风机179,2026-05-28,D区,FX-009,offline
5482311465834700398,D170,风机170,2026-05-19,C区,FX-009,offline
5608536322242493869,D164,风机164,2026-05-13,A区,FX-003,offline
5663401333765037128,D194,风机194,2026-06-12,C区,FX-006,offline
5683102667390979317,D038,风机038,2026-01-07,C区,FX-003,offline
5709041594642180453,D056,风机056,2026-01-25,A区,FX-003,offline
5709208680018790839,D106,风机106,2026-03-16,C区,FX-008,maintenance
5767889804303859527,D080,风机080,2026-02-18,A区,FX-009,offline
5774481111443632299,D028,风机028,2025-12-28,A区,FX-002,maintenance
5860192661948454165,D058,风机058,2026-01-27,C区,FX-005,maintenance
5869794989624977148,D053,风机053,2026-01-22,B区,FX-009,offline
5907074394451075382,D138,风机138,2026-04-17,C区,FX-004,active
5914181592542414948,D004,风机004,2025-12-04,A区,FX-005,maintenance
5963682531258172007,D136,风机136,2026-04-15,A区,FX-002,maintenance
5972846299636730270,D065,风机065,2026-02-03,B区,FX-003,offline
5992248743401800172,D067,风机067,2026-02-05,D区,FX-005,maintenance
6020657558577759754,D134,风机134,2026-04-13,C区,FX-009,offline
6028974554612688084,D139,风机139,2026-04-18,D区,FX-005,maintenance
6042229018206030801,D036,风机036,2026-01-05,A区,FX-001,active
6043451218403383149,D016,风机016,2025-12-16,A区,FX-008,maintenance
6053139888496606661,D196,风机196,2026-06-14,A区,FX-008,maintenance
6084333409547135337,D070,风机070,2026-02-08,C区,FX-008,maintenance
6109918372132888135,D066,风机066,2026-02-04,C区,FX-004,active
6110621761329282593,D135,风机135,2026-04-14,D区,FX-001,active
6196008999386933165,D069,风机069,2026-02-07,B区,FX-007,active
6198092318061877227,D020,风机020,2025-12-20,A区,FX-003,offline
6268187908527670590,D144,风机144,2026-04-23,A区,FX-001,active
6320633997000254506,D049,风机049,2026-01-18,B区,FX-005,maintenance
6339753383142656307,D026,风机026,2025-12-26,C区,FX-009,offline
6355702102653369081,D171,风机171,2026-05-20,D区,FX-001,active
6488504836848310083,D083,风机083,2026-02-21,D区,FX-003,offline
6489132485896470789,D197,风机197,2026-06-15,B区,FX-009,offline
6496013762412553103,D017,风机017,2025-12-17,B区,FX-009,offline
6513135964344833299,D055,风机055,2026-01-24,D区,FX-002,maintenance
6556942379640519053,D064,风机064,2026-02-02,A区,FX-002,maintenance
6597078519098404562,D127,风机127,2026-04-06,D区,FX-002,maintenance
6611806114445472667,D184,风机184,2026-06-02,A区,FX-005,maintenance
6631068664164042132,D019,风机019,2025-12-19,D区,FX-002,maintenance
6699025010778861278,D048,风机048,2026-01-17,A区,FX-004,active
6841992794826715568,D098,风机098,2026-03-08,C区,FX-009,offline
6918650923686266727,D157,风机157,2026-05-06,B区,FX-005,maintenance
6927756029629636625,D045,风机045,2026-01-14,B区,FX-001,active
6990349574624340512,D025,风机025,2025-12-25,B区,FX-008,maintenance
7023836167536038983,D031,风机031,2025-12-31,D区,FX-005,maintenance
7122659582800234721,D024,风机024,2025-12-24,A区,FX-007,active
7142387273978262590,D125,风机125,2026-04-04,B区,FX-009,offline
7276285118962942589,D052,风机052,2026-01-21,A区,FX-008,maintenance
7293850796471959897,D191,风机191,2026-06-09,D区,FX-003,offline
7328820056572855921,D158,风机158,2026-05-07,C区,FX-006,offline
7441276316327046617,D091,风机091,2026-03-01,D区,FX-002,maintenance
7471336508421318878,D109,风机109,2026-03-19,B区,FX-002,maintenance
7569422844104087715,D105,风机105,2026-03-15,B区,FX-007,active
7590490375595229876,D092,风机092,2026-03-02,A区,FX-003,offline
7601216201812480151,D027,风机027,2025-12-27,D区,FX-001,active
7701129368756300706,D089,风机089,2026-02-27,B区,FX-009,offline
7726581757246836403,D163,风机163,2026-05-12,D区,FX-002,maintenance
7731199031188658875,D060,风机060,2026-01-29,A区,FX-007,active
7771720738901529839,D015,风机015,2025-12-15,D区,FX-007,active
7821230194003298660,D071,风机071,2026-02-09,D区,FX-009,offline
7895048582230316691,D200,风机200,2026-06-18,A区,FX-003,offline
7962112181388844960,D108,风机108,2026-03-18,A区,FX-001,active
8003275322074193084,D142,风机142,2026-04-21,C区,FX-008,maintenance
8050701771994319755,D086,风机086,2026-02-24,C区,FX-006,offline
8067755402318714877,D076,风机076,2026-02-14,A区,FX-005,maintenance
8148955777422952606,D174,风机174,2026-05-23,C区,FX-004,active
8230382197325021779,D014,风机014,2025-12-14,C区,FX-006,offline
8414184594355814043,D161,风机161,2026-05-10,B区,FX-009,offline
8416064610273556652,D121,风机121,2026-03-31,B区,FX-005,maintenance
8422967230144463366,D172,风机172,2026-05-21,A区,FX-002,maintenance
8535221172252960426,D013,风机013,2025-12-13,B区,FX-005,maintenance
8623497751136019534,D047,风机047,2026-01-16,D区,FX-003,offline
8663272023606697505,D156,风机156,2026-05-05,A区,FX-004,active
8753782737795586274,D085,风机085,2026-02-23,B区,FX-005,maintenance
8873525771113608759,D178,风机178,2026-05-27,C区,FX-008,maintenance
8922745275273193099,D040,风机040,2026-01-09,A区,FX-005,maintenance
9040679543087602212,D062,风机062,2026-01-31,C区,FX-009,offline
9064719890721876581,D160,风机160,2026-05-09,A区,FX-008,maintenance
9088646074866824353,D193,风机193,2026-06-11,B区,FX-005,maintenance
9214960827529666737,D116,风机116,2026-03-26,A区,FX-009,offline
