device_id,device_name,install_date,location,model,status
D035,风机035,2026-01-04,D区,FX-009,offline
D007,风机007,2025-12-07,D区,FX-008,maintenance
D195,风机195,2026-06-13,D区,FX-007,active
D133,风机133,2026-04-12,B区,FX-008,maintenance
D068,风机068,2026-02-06,A区,FX-006,offline
D140,风机140,2026-04-19,A区,FX-006,offline
D120,风机120,2026-03-30,A区,FX-004,active
D113,风机113,2026-03-23,B区,FX-006,offline
D046,风机046,2026-01-15,C区,FX-002,maintenance
D188,风机188,2026-06-06,A区,FX-009,offline
D078,风机078,2026-02-16,C区,FX-007,active
D094,风机094,2026-03-04,C区,FX-005,maintenance
D137,风机137,2026-04-16,B区,FX-003,offline
D117,风机117,2026-03-27,B区,FX-001,active
D061,风机061,2026-01-30,B区,FX-008,maintenance
D111,风机111,2026-03-21,D区,FX-004,active
D146,风机146,2026-04-25,C区,FX-003,offline
D114,风机114,2026-03-24,C区,FX-007,active
D022,风机022,2025-12-22,C区,FX-005,maintenance
D018,风机018,2025-12-18,C区,FX-001,active
D187,风机187,2026-06-05,D区,FX-008,maintenance
D176,风机176,2026-05-25,A区,FX-006,offline
D179,风机179,2026-05-28,D区,FX-009,offline
D170,风机170,2026-05-19,C区,FX-009,offline
D164,风机164,2026-05-13,A区,FX-003,offline
D194,风机194,2026-06-12,C区,FX-006,offline
D038,风机038,2026-01-07,C区,FX-003,offline
D056,风机056,2026-01-25,A区,FX-003,offline
D106,风机106,2026-03-16,C区,FX-008,maintenance
D080,风机080,2026-02-18,A区,FX-009,offline
D028,风机028,2025-12-28,A区,FX-002,maintenance
D058,风机058,2026-01-27,C区,FX-005,maintenance
D053,风机053,2026-01-22,B区,FX-009,offline
D138,风机138,2026-04-17,C区,FX-004,active
D004,风机004,2025-12-04,A区,FX-005,maintenance
D136,风机136,2026-04-15,A区,FX-002,maintenance
D065,风机065,2026-02-03,B区,FX-003,offline
D067,风机067,2026-02-05,D区,FX-005,maintenance
D134,风机134,2026-04-13,C区,FX-009,offline
D139,风机139,2026-04-18,D区,FX-005,maintenance
D036,风机036,2026-01-05,A区,FX-001,active
D016,风机016,2025-12-16,A区,FX-008,maintenance
D196,风机196,2026-06-14,A区,FX-008,maintenance
D070,风机070,2026-02-08,C区,FX-008,maintenance
D066,风机066,2026-02-04,C区,FX-004,active
D135,风机135,2026-04-14,D区,FX-001,active
D069,风机069,2026-02-07,B区,FX-007,active
D020,风机020,2025-12-20,A区,FX-003,offline
D144,风机144,2026-04-23,A区,FX-001,active
D049,风机049,2026-01-18,B区,FX-005,maintenance
D026,风机026,2025-12-26,C区,FX-009,offline
D171,风机171,2026-05-20,D区,FX-001,active
D083,风机083,2026-02-21,D区,FX-003,offline
D197,风机197,2026-06-15,B区,FX-009,offline
D017,风机017,2025-12-17,B区,FX-009,offline
D055,风机055,2026-01-24,D区,FX-002,maintenance
D064,风机064,2026-02-02,A区,FX-002,maintenance
D127,风机127,2026-04-06,D区,FX-002,maintenance
D184,风机184,2026-06-02,A区,FX-005,maintenance
D019,风机019,2025-12-19,D区,FX-002,maintenance
D048,风机048,2026-01-17,A区,FX-004,active
D098,风机098,2026-03-08,C区,FX-009,offline
D157,风机157,2026-05-06,B区,FX-005,maintenance
D045,风机045,2026-01-14,B区,FX-001,active
D025,风机025,2025-12-25,B区,FX-008,maintenance
D031,风机031,2025-12-31,D区,FX-005,maintenance
D024,风机024,2025-12-24,A区,FX-007,active
D125,风机125,2026-04-04,B区,FX-009,offline
D052,风机052,2026-01-21,A区,FX-008,maintenance
D191,风机191,2026-06-09,D区,FX-003,offline
D158,风机158,2026-05-07,C区,FX-006,offline
D091,风机091,2026-03-01,D区,FX-002,maintenance
D109,风机109,2026-03-19,B区,FX-002,maintenance
D105,风机105,2026-03-15,B区,FX-007,active
D092,风机092,2026-03-02,A区,FX-003,offline
D027,风机027,2025-12-27,D区,FX-001,active
D089,风机089,2026-02-27,B区,FX-009,offline
D163,风机163,2026-05-12,D区,FX-002,maintenance
D060,风机060,2026-01-29,A区,FX-007,active
D015,风机015,2025-12-15,D区,FX-007,active
D071,风机071,2026-02-09,D区,FX-009,offline
D108,风机108,2026-03-18,A区,FX-001,active
D142,风机142,2026-04-21,C区,FX-008,maintenance
D086,风机086,2026-02-24,C区,FX-006,offline
D076,风机076,2026-02-14,A区,FX-005,maintenance
D174,风机174,2026-05-23,C区,FX-004,active
D014,风机014,2025-12-14,C区,FX-006,offline
D161,风机161,2026-05-10,B区,FX-009,offline
D121,风机121,2026-03-31,B区,FX-005,maintenance
D172,风机172,2026-05-21,A区,FX-002,maintenance
D013,风机013,2025-12-13,B区,FX-005,maintenance
D047,风机047,2026-01-16,D区,FX-003,offline
D156,风机156,2026-05-05,A区,FX-004,active
D085,风机085,2026-02-23,B区,FX-005,maintenance
D178,风机178,2026-05-27,C区,FX-008,maintenance
D040,风机040,2026-01-09,A区,FX-005,maintenance
D062,风机062,2026-01-31,C区,FX-009,offline
D160,风机160,2026-05-09,A区,FX-008,maintenance
D193,风机193,2026-06-11,B区,FX-005,maintenance
D116,风机116,2026-03-26,A区,FX-009,offline
