device_id,device_name,model,location,status,install_date
D130,风机130,FX-005,C区,maintenance,2026-04-09
D131,风机131,FX-006,D区,offline,2026-04-10
D132,风机132,FX-007,A区,active,2026-04-11
D133,风机133,FX-008,B区,maintenance,2026-04-12
D134,风机134,FX-009,C区,offline,2026-04-13
D135,风机135,FX-001,D区,active,2026-04-14
D136,风机136,FX-002,A区,maintenance,2026-04-15
D137,风机137,FX-003,B区,offline,2026-04-16
D138,风机138,FX-004,C区,active,2026-04-17
D139,风机139,FX-005,D区,maintenance,2026-04-18
D140,风机140,FX-006,A区,offline,2026-04-19
D141,风机141,FX-007,B区,active,2026-04-20
D142,风机142,FX-008,C区,maintenance,2026-04-21
D143,风机143,FX-009,D区,offline,2026-04-22
D144,风机144,FX-001,A区,active,2026-04-23
D145,风机145,FX-002,B区,maintenance,2026-04-24
D146,风机146,FX-003,C区,offline,2026-04-25
D147,风机147,FX-004,D区,active,2026-04-26
D148,风机148,FX-005,A区,maintenance,2026-04-27
D149,风机149,FX-006,B区,offline,2026-04-28
D150,风机150,FX-007,C区,active,2026-04-29
D151,风机151,FX-008,D区,maintenance,2026-04-30
D152,风机152,FX-009,A区,offline,2026-05-01
D153,风机153,FX-001,B区,active,2026-05-02
D154,风机154,FX-002,C区,maintenance,2026-05-03
D155,风机155,FX-003,D区,offline,2026-05-04
D156,风机156,FX-004,A区,active,2026-05-05
D157,风机157,FX-005,B区,maintenance,2026-05-06
D158,风机158,FX-006,C区,offline,2026-05-07
D159,风机159,FX-007,D区,active,2026-05-08
D160,风机160,FX-008,A区,maintenance,2026-05-09
D161,风机161,FX-009,B区,offline,2026-05-10
D162,风机162,FX-001,C区,active,2026-05-11
D163,风机163,FX-002,D区,maintenance,2026-05-12
D164,风机164,FX-003,A区,offline,2026-05-13
D165,风机165,FX-004,B区,active,2026-05-14
D166,风机166,FX-005,C区,maintenance,2026-05-15
D167,风机167,FX-006,D区,offline,2026-05-16
D168,风机168,FX-007,A区,active,2026-05-17
D169,风机169,FX-008,B区,maintenance,2026-05-18
D170,风机170,FX-009,C区,offline,2026-05-19
D171,风机171,FX-001,D区,active,2026-05-20
D172,风机172,FX-002,A区,maintenance,2026-05-21
D173,风机173,FX-003,B区,offline,2026-05-22
D174,风机174,FX-004,C区,active,2026-05-23
D175,风机175,FX-005,D区,maintenance,2026-05-24
D176,风机176,FX-006,A区,offline,2026-05-25
D177,风机177,FX-007,B区,active,2026-05-26
D178,风机178,FX-008,C区,maintenance,2026-05-27
D179,风机179,FX-009,D区,offline,2026-05-28
D180,风机180,FX-001,A区,active,2026-05-29
D181,风机181,FX-002,B区,maintenance,2026-05-30
D182,风机182,FX-003,C区,offline,2026-05-31
D183,风机183,FX-004,D区,active,2026-06-01
D184,风机184,FX-005,A区,maintenance,2026-06-02
D185,风机185,FX-006,B区,offline,2026-06-03
D186,风机186,FX-007,C区,active,2026-06-04
D187,风机187,FX-008,D区,maintenance,2026-06-05
D188,风机188,FX-009,A区,offline,2026-06-06
D189,风机189,FX-001,B区,active,2026-06-07
D190,风机190,FX-002,C区,maintenance,2026-06-08
D191,风机191,FX-003,D区,offline,2026-06-09
D192,风机192,FX-004,A区,active,2026-06-10
D193,风机193,FX-005,B区,maintenance,2026-06-11
D194,风机194,FX-006,C区,offline,2026-06-12
D195,风机195,FX-007,D区,active,2026-06-13
D196,风机196,FX-008,A区,maintenance,2026-06-14
D197,风机197,FX-009,B区,offline,2026-06-15
D198,风机198,FX-001,C区,active,2026-06-16
D199,风机199,FX-002,D区,maintenance,2026-06-17
D200,风机200,FX-003,A区,offline,2026-06-18
