record_id,device_id,collect_time,temperature,pressure,flow,remark
35,D036,2026-02-18 00:34:00,19.75,1.25,1.5,正常
36,D037,2026-02-18 00:35:00,19.8,1.26,1.52,波动
37,D038,2026-02-18 00:36:00,19.85,1.27,1.54,低负载
38,D039,2026-02-18 00:37:00,19.9,1.28,1.56,高负载
39,D040,2026-02-18 00:38:00,19.95,1.29,1.58,检修
40,D041,2026-02-18 00:39:00,20,1.3,1.6,正常
41,D042,2026-02-18 00:40:00,20.05,1.31,1.62,波动
42,D043,2026-02-18 00:41:00,20.1,1.32,1.64,低负载
43,D044,2026-02-18 00:42:00,20.15,1.33,1.66,高负载
44,D045,2026-02-18 00:43:00,20.2,1.34,1.68,检修
45,D046,2026-02-18 00:44:00,20.25,1.35,1.7,正常
46,D047,2026-02-18 00:45:00,20.3,1.36,1.72,波动
47,D048,2026-02-18 00:46:00,20.35,1.37,1.74,低负载
48,D049,2026-02-18 00:47:00,20.4,1.38,1.76,高负载
49,D050,2026-02-18 00:48:00,20.45,1.39,1.78,检修
50,D051,2026-02-18 00:49:00,20.5,0.9,1.8,正常
51,D052,2026-02-18 00:50:00,20.55,0.91,1.82,波动
52,D053,2026-02-18 00:51:00,20.6,0.92,1.84,低负载
53,D054,2026-02-18 00:52:00,20.65,0.93,1.86,高负载
54,D055,2026-02-18 00:53:00,20.7,0.94,1.88,检修
55,D056,2026-02-18 00:54:00,20.75,0.95,1.9,正常
56,D057,2026-02-18 00:55:00,20.8,0.96,1.92,波动
57,D058,2026-02-18 00:56:00,20.85,0.97,1.94,低负载
58,D059,2026-02-18 00:57:00,20.9,0.98,1.96,高负载
59,D060,2026-02-18 00:58:00,20.95,0.99,1.98,检修
60,D061,2026-02-18 00:59:00,21,1,0.8,正常
61,D062,2026-02-18 01:00:00,21.05,1.01,0.82,波动
62,D063,2026-02-18 01:01:00,21.1,1.02,0.84,低负载
63,D064,2026-02-18 01:02:00,21.15,1.03,0.86,高负载
64,D065,2026-02-18 01:03:00,21.2,1.04,0.88,检修
65,D066,2026-02-18 01:04:00,21.25,1.05,0.9,正常
66,D067,2026-02-18 01:05:00,21.3,1.06,0.92,波动
67,D068,2026-02-18 01:06:00,21.35,1.07,0.94,低负载
68,D069,2026-02-18 01:07:00,21.4,1.08,0.96,高负载
69,D070,2026-02-18 01:08:00,21.45,1.09,0.98,检修
70,D071,2026-02-18 01:09:00,21.5,1.1,1,正常
71,D072,2026-02-18 01:10:00,21.55,1.11,1.02,波动
72,D073,2026-02-18 01:11:00,21.6,1.12,1.04,低负载
73,D074,2026-02-18 01:12:00,21.65,1.13,1.06,高负载
74,D075,2026-02-18 01:13:00,21.7,1.14,1.08,检修
75,D076,2026-02-18 01:14:00,21.75,1.15,1.1,正常
76,D077,2026-02-18 01:15:00,21.8,1.16,1.12,波动
77,D078,2026-02-18 01:16:00,21.85,1.17,1.14,低负载
78,D079,2026-02-18 01:17:00,21.9,1.18,1.16,高负载
79,D080,2026-02-18 01:18:00,21.95,1.19,1.18,检修
80,D081,2026-02-18 01:19:00,22,1.2,1.2,正常
81,D082,2026-02-18 01:20:00,22.05,1.21,1.22,波动
82,D083,2026-02-18 01:21:00,22.1,1.22,1.24,低负载
83,D084,2026-02-18 01:22:00,22.15,1.23,1.26,高负载
84,D085,2026-02-18 01:23:00,22.2,1.24,1.28,检修
85,D086,2026-02-18 01:24:00,22.25,1.25,1.3,正常
86,D087,2026-02-18 01:25:00,22.3,1.26,1.32,波动
87,D088,2026-02-18 01:26:00,22.35,1.27,1.34,低负载
88,D089,2026-02-18 01:27:00,22.4,1.28,1.36,高负载
89,D090,2026-02-18 01:28:00,22.45,1.29,1.38,检修
90,D091,2026-02-18 01:29:00,22.5,1.3,1.4,正常
91,D092,2026-02-18 01:30:00,22.55,1.31,1.42,波动
92,D093,2026-02-18 01:31:00,22.6,1.32,1.44,低负载
93,D094,2026-02-18 01:32:00,22.65,1.33,1.46,高负载
94,D095,2026-02-18 01:33:00,22.7,1.34,1.48,检修
95,D096,2026-02-18 01:34:00,22.75,1.35,1.5,正常
96,D097,2026-02-18 01:35:00,22.8,1.36,1.52,波动
97,D098,2026-02-18 01:36:00,22.85,1.37,1.54,低负载
98,D099,2026-02-18 01:37:00,22.9,1.38,1.56,高负载
99,D100,2026-02-18 01:38:00,22.95,1.39,1.58,检修
100,D101,2026-02-18 01:39:00,23,0.9,1.6,正常
101,D102,2026-02-18 01:40:00,23.05,0.91,1.62,波动
102,D103,2026-02-18 01:41:00,23.1,0.92,1.64,低负载
103,D104,2026-02-18 01:42:00,23.15,0.93,1.66,高负载
104,D105,2026-02-18 01:43:00,23.2,0.94,1.68,检修
105,D106,2026-02-18 01:44:00,23.25,0.95,1.7,正常
106,D107,2026-02-18 01:45:00,23.3,0.96,1.72,波动
107,D108,2026-02-18 01:46:00,23.35,0.97,1.74,低负载
108,D109,2026-02-18 01:47:00,23.4,0.98,1.76,高负载
109,D110,2026-02-18 01:48:00,23.45,0.99,1.78,检修
110,D111,2026-02-18 01:49:00,23.5,1,1.8,正常
111,D112,2026-02-18 01:50:00,23.55,1.01,1.82,波动
112,D113,2026-02-18 01:51:00,23.6,1.02,1.84,低负载
113,D114,2026-02-18 01:52:00,23.65,1.03,1.86,高负载
114,D115,2026-02-18 01:53:00,23.7,1.04,1.88,检修
115,D116,2026-02-18 01:54:00,23.75,1.05,1.9,正常
116,D117,2026-02-18 01:55:00,23.8,1.06,1.92,波动
117,D118,2026-02-18 01:56:00,23.85,1.07,1.94,低负载
118,D119,2026-02-18 01:57:00,23.9,1.08,1.96,高负载
119,D120,2026-02-18 01:58:00,23.95,1.09,1.98,检修
120,D121,2026-02-18 01:59:00,18,1.1,0.8,正常
121,D122,2026-02-18 02:00:00,18.05,1.11,0.82,波动
122,D123,2026-02-18 02:01:00,18.1,1.12,0.84,低负载
123,D124,2026-02-18 02:02:00,18.15,1.13,0.86,高负载
124,D125,2026-02-18 02:03:00,18.2,1.14,0.88,检修
125,D126,2026-02-18 02:04:00,18.25,1.15,0.9,正常
126,D127,2026-02-18 02:05:00,18.3,1.16,0.92,波动
127,D128,2026-02-18 02:06:00,18.35,1.17,0.94,低负载
128,D129,2026-02-18 02:07:00,18.4,1.18,0.96,高负载
129,D130,2026-02-18 02:08:00,18.45,1.19,0.98,检修
130,D131,2026-02-18 02:09:00,18.5,1.2,1,正常
131,D132,2026-02-18 02:10:00,18.55,1.21,1.02,波动
132,D133,2026-02-18 02:11:00,18.6,1.22,1.04,低负载
133,D134,2026-02-18 02:12:00,18.65,1.23,1.06,高负载
134,D135,2026-02-18 02:13:00,18.7,1.24,1.08,检修
135,D136,2026-02-18 02:14:00,18.75,1.25,1.1,正常
136,D137,2026-02-18 02:15:00,18.8,1.26,1.12,波动
137,D138,2026-02-18 02:16:00,18.85,1.27,1.14,低负载
138,D139,2026-02-18 02:17:00,18.9,1.28,1.16,高负载
139,D140,2026-02-18 02:18:00,18.95,1.29,1.18,检修
140,D141,2026-02-18 02:19:00,19,1.3,1.2,正常
141,D142,2026-02-18 02:20:00,19.05,1.31,1.22,波动
142,D143,2026-02-18 02:21:00,19.1,1.32,1.24,低负载
143,D144,2026-02-18 02:22:00,19.15,1.33,1.26,高负载
144,D145,2026-02-18 02:23:00,19.2,1.34,1.28,检修
145,D146,2026-02-18 02:24:00,19.25,1.35,1.3,正常
146,D147,2026-02-18 02:25:00,19.3,1.36,1.32,波动
147,D148,2026-02-18 02:26:00,19.35,1.37,1.34,低负载
148,D149,2026-02-18 02:27:00,19.4,1.38,1.36,高负载
149,D150,2026-02-18 02:28:00,19.45,1.39,1.38,检修
150,D151,2026-02-18 02:29:00,19.5,0.9,1.4,正常
151,D152,2026-02-18 02:30:00,19.55,0.91,1.42,波动
152,D153,2026-02-18 02:31:00,19.6,0.92,1.44,低负载
153,D154,2026-02-18 02:32:00,19.65,0.93,1.46,高负载
154,D155,2026-02-18 02:33:00,19.7,0.94,1.48,检修
155,D156,2026-02-18 02:34:00,19.75,0.95,1.5,正常
156,D157,2026-02-18 02:35:00,19.8,0.96,1.52,波动
157,D158,2026-02-18 02:36:00,19.85,0.97,1.54,低负载
158,D159,2026-02-18 02:37:00,19.9,0.98,1.56,高负载
159,D160,2026-02-18 02:38:00,19.95,0.99,1.58,检修
160,D161,2026-02-18 02:39:00,20,1,1.6,正常
161,D162,2026-02-18 02:40:00,20.05,1.01,1.62,波动
162,D163,2026-02-18 02:41:00,20.1,1.02,1.64,低负载
163,D164,2026-02-18 02:42:00,20.15,1.03,1.66,高负载
164,D165,2026-02-18 02:43:00,20.2,1.04,1.68,检修
165,D166,2026-02-18 02:44:00,20.25,1.05,1.7,正常
166,D167,2026-02-18 02:45:00,20.3,1.06,1.72,波动
167,D168,2026-02-18 02:46:00,20.35,1.07,1.74,低负载
168,D169,2026-02-18 02:47:00,20.4,1.08,1.76,高负载
169,D170,2026-02-18 02:48:00,20.45,1.09,1.78,检修
170,D171,2026-02-18 02:49:00,20.5,1.1,1.8,正常
171,D172,2026-02-18 02:50:00,20.55,1.11,1.82,波动
172,D173,2026-02-18 02:51:00,20.6,1.12,1.84,低负载
173,D174,2026-02-18 02:52:00,20.65,1.13,1.86,高负载
174,D175,2026-02-18 02:53:00,20.7,1.14,1.88,检修
175,D176,2026-02-18 02:54:00,20.75,1.15,1.9,正常
176,D177,2026-02-18 02:55:00,20.8,1.16,1.92,波动
177,D178,2026-02-18 02:56:00,20.85,1.17,1.94,低负载
178,D179,2026-02-18 02:57:00,20.9,1.18,1.96,高负载
179,D180,2026-02-18 02:58:00,20.95,1.19,1.98,检修
180,D181,2026-02-18 02:59:00,21,1.2,0.8,正常
181,D182,2026-02-18 03:00:00,21.05,1.21,0.82,波动
182,D183,2026-02-18 03:01:00,21.1,1.22,0.84,低负载
183,D184,2026-02-18 03:02:00,21.15,1.23,0.86,高负载
184,D185,2026-02-18 03:03:00,21.2,1.24,0.88,检修
185,D186,2026-02-18 03:04:00,21.25,1.25,0.9,正常
186,D187,2026-02-18 03:05:00,21.3,1.26,0.92,波动
187,D188,2026-02-18 03:06:00,21.35,1.27,0.94,低负载
188,D189,2026-02-18 03:07:00,21.4,1.28,0.96,高负载
189,D190,2026-02-18 03:08:00,21.45,1.29,0.98,检修
190,D191,2026-02-18 03:09:00,21.5,1.3,1,正常
191,D192,2026-02-18 03:10:00,21.55,1.31,1.02,波动
192,D193,2026-02-18 03:11:00,21.6,1.32,1.04,低负载
193,D194,2026-02-18 03:12:00,21.65,1.33,1.06,高负载
194,D195,2026-02-18 03:13:00,21.7,1.34,1.08,检修
195,D196,2026-02-18 03:14:00,21.75,1.35,1.1,正常
196,D197,2026-02-18 03:15:00,21.8,1.36,1.12,波动
197,D198,2026-02-18 03:16:00,21.85,1.37,1.14,低负载
198,D199,2026-02-18 03:17:00,21.9,1.38,1.16,高负载
199,D200,2026-02-18 03:18:00,21.95,1.39,1.18,检修
200,D001,2026-02-18 03:19:00,22,0.9,1.2,正常
201,D002,2026-02-18 03:20:00,22.05,0.91,1.22,波动
202,D003,2026-02-18 03:21:00,22.1,0.92,1.24,低负载
203,D004,2026-02-18 03:22:00,22.15,0.93,1.26,高负载
204,D005,2026-02-18 03:23:00,22.2,0.94,1.28,检修
205,D006,2026-02-18 03:24:00,22.25,0.95,1.3,正常
206,D007,2026-02-18 03:25:00,22.3,0.96,1.32,波动
207,D008,2026-02-18 03:26:00,22.35,0.97,1.34,低负载
208,D009,2026-02-18 03:27:00,22.4,0.98,1.36,高负载
209,D010,2026-02-18 03:28:00,22.45,0.99,1.38,检修
210,D011,2026-02-18 03:29:00,22.5,1,1.4,正常
211,D012,2026-02-18 03:30:00,22.55,1.01,1.42,波动
212,D013,2026-02-18 03:31:00,22.6,1.02,1.44,低负载
213,D014,2026-02-18 03:32:00,22.65,1.03,1.46,高负载
214,D015,2026-02-18 03:33:00,22.7,1.04,1.48,检修
215,D016,2026-02-18 03:34:00,22.75,1.05,1.5,正常
216,D017,2026-02-18 03:35:00,22.8,1.06,1.52,波动
217,D018,2026-02-18 03:36:00,22.85,1.07,1.54,低负载
218,D019,2026-02-18 03:37:00,22.9,1.08,1.56,高负载
219,D020,2026-02-18 03:38:00,22.95,1.09,1.58,检修
220,D021,2026-02-18 03:39:00,23,1.1,1.6,正常
221,D022,2026-02-18 03:40:00,23.05,1.11,1.62,波动
222,D023,2026-02-18 03:41:00,23.1,1.12,1.64,低负载
223,D024,2026-02-18 03:42:00,23.15,1.13,1.66,高负载
224,D025,2026-02-18 03:43:00,23.2,1.14,1.68,检修
225,D026,2026-02-18 03:44:00,23.25,1.15,1.7,正常
226,D027,2026-02-18 03:45:00,23.3,1.16,1.72,波动
227,D028,2026-02-18 03:46:00,23.35,1.17,1.74,低负载
228,D029,2026-02-18 03:47:00,23.4,1.18,1.76,高负载
229,D030,2026-02-18 03:48:00,23.45,1.19,1.78,检修
230,D031,2026-02-18 03:49:00,23.5,1.2,1.8,正常
231,D032,2026-02-18 03:50:00,23.55,1.21,1.82,波动
232,D033,2026-02-18 03:51:00,23.6,1.22,1.84,低负载
233,D034,2026-02-18 03:52:00,23.65,1.23,1.86,高负载
234,D035,2026-02-18 03:53:00,23.7,1.24,1.88,检修
235,D036,2026-02-18 03:54:00,23.75,1.25,1.9,正常
236,D037,2026-02-18 03:55:00,23.8,1.26,1.92,波动
237,D038,2026-02-18 03:56:00,23.85,1.27,1.94,低负载
238,D039,2026-02-18 03:57:00,23.9,1.28,1.96,高负载
239,D040,2026-02-18 03:58:00,23.95,1.29,1.98,检修
240,D041,2026-02-18 03:59:00,18,1.3,0.8,正常
241,D042,2026-02-18 04:00:00,18.05,1.31,0.82,波动
242,D043,2026-02-18 04:01:00,18.1,1.32,0.84,低负载
243,D044,2026-02-18 04:02:00,18.15,1.33,0.86,高负载
244,D045,2026-02-18 04:03:00,18.2,1.34,0.88,检修
245,D046,2026-02-18 04:04:00,18.25,1.35,0.9,正常
246,D047,2026-02-18 04:05:00,18.3,1.36,0.92,波动
247,D048,2026-02-18 04:06:00,18.35,1.37,0.94,低负载
248,D049,2026-02-18 04:07:00,18.4,1.38,0.96,高负载
249,D050,2026-02-18 04:08:00,18.45,1.39,0.98,检修
250,D051,2026-02-18 04:09:00,18.5,0.9,1,正常
251,D052,2026-02-18 04:10:00,18.55,0.91,1.02,波动
252,D053,2026-02-18 04:11:00,18.6,0.92,1.04,低负载
253,D054,2026-02-18 04:12:00,18.65,0.93,1.06,高负载
254,D055,2026-02-18 04:13:00,18.7,0.94,1.08,检修
255,D056,2026-02-18 04:14:00,18.75,0.95,1.1,正常
256,D057,2026-02-18 04:15:00,18.8,0.96,1.12,波动
257,D058,2026-02-18 04:16:00,18.85,0.97,1.14,低负载
258,D059,2026-02-18 04:17:00,18.9,0.98,1.16,高负载
259,D060,2026-02-18 04:18:00,18.95,0.99,1.18,检修
260,D061,2026-02-18 04:19:00,19,1,1.2,正常
261,D062,2026-02-18 04:20:00,19.05,1.01,1.22,波动
262,D063,2026-02-18 04:21:00,19.1,1.02,1.24,低负载
263,D064,2026-02-18 04:22:00,19.15,1.03,1.26,高负载
264,D065,2026-02-18 04:23:00,19.2,1.04,1.28,检修
265,D066,2026-02-18 04:24:00,19.25,1.05,1.3,正常
266,D067,2026-02-18 04:25:00,19.3,1.06,1.32,波动
267,D068,2026-02-18 04:26:00,19.35,1.07,1.34,低负载
268,D069,2026-02-18 04:27:00,19.4,1.08,1.36,高负载
269,D070,2026-02-18 04:28:00,19.45,1.09,1.38,检修
270,D071,2026-02-18 04:29:00,19.5,1.1,1.4,正常
271,D072,2026-02-18 04:30:00,19.55,1.11,1.42,波动
272,D073,2026-02-18 04:31:00,19.6,1.12,1.44,低负载
273,D074,2026-02-18 04:32:00,19.65,1.13,1.46,高负载
274,D075,2026-02-18 04:33:00,19.7,1.14,1.48,检修
275,D076,2026-02-18 04:34:00,19.75,1.15,1.5,正常
276,D077,2026-02-18 04:35:00,19.8,1.16,1.52,波动
277,D078,2026-02-18 04:36:00,19.85,1.17,1.54,低负载
278,D079,2026-02-18 04:37:00,19.9,1.18,1.56,高负载
279,D080,2026-02-18 04:38:00,19.95,1.19,1.58,检修
280,D081,2026-02-18 04:39:00,20,1.2,1.6,正常
281,D082,2026-02-18 04:40:00,20.05,1.21,1.62,波动
282,D083,2026-02-18 04:41:00,20.1,1.22,1.64,低负载
283,D084,2026-02-18 04:42:00,20.15,1.23,1.66,高负载
284,D085,2026-02-18 04:43:00,20.2,1.24,1.68,检修
285,D086,2026-02-18 04:44:00,20.25,1.25,1.7,正常
286,D087,2026-02-18 04:45:00,20.3,1.26,1.72,波动
287,D088,2026-02-18 04:46:00,20.35,1.27,1.74,低负载
288,D089,2026-02-18 04:47:00,20.4,1.28,1.76,高负载
289,D090,2026-02-18 04:48:00,20.45,1.29,1.78,检修
290,D091,2026-02-18 04:49:00,20.5,1.3,1.8,正常
291,D092,2026-02-18 04:50:00,20.55,1.31,1.82,波动
292,D093,2026-02-18 04:51:00,20.6,1.32,1.84,低负载
293,D094,2026-02-18 04:52:00,20.65,1.33,1.86,高负载
294,D095,2026-02-18 04:53:00,20.7,1.34,1.88,检修
295,D096,2026-02-18 04:54:00,20.75,1.35,1.9,正常
296,D097,2026-02-18 04:55:00,20.8,1.36,1.92,波动
297,D098,2026-02-18 04:56:00,20.85,1.37,1.94,低负载
298,D099,2026-02-18 04:57:00,20.9,1.38,1.96,高负载
299,D100,2026-02-18 04:58:00,20.95,1.39,1.98,检修
300,D101,2026-02-18 04:59:00,21,0.9,0.8,正常
301,D102,2026-02-18 05:00:00,21.05,0.91,0.82,波动
302,D103,2026-02-18 05:01:00,21.1,0.92,0.84,低负载
303,D104,2026-02-18 05:02:00,21.15,0.93,0.86,高负载
304,D105,2026-02-18 05:03:00,21.2,0.94,0.88,检修
305,D106,2026-02-18 05:04:00,21.25,0.95,0.9,正常
306,D107,2026-02-18 05:05:00,21.3,0.96,0.92,波动
307,D108,2026-02-18 05:06:00,21.35,0.97,0.94,低负载
308,D109,2026-02-18 05:07:00,21.4,0.98,0.96,高负载
309,D110,2026-02-18 05:08:00,21.45,0.99,0.98,检修
310,D111,2026-02-18 05:09:00,21.5,1,1,正常
311,D112,2026-02-18 05:10:00,21.55,1.01,1.02,波动
312,D113,2026-02-18 05:11:00,21.6,1.02,1.04,低负载
313,D114,2026-02-18 05:12:00,21.65,1.03,1.06,高负载
314,D115,2026-02-18 05:13:00,21.7,1.04,1.08,检修
315,D116,2026-02-18 05:14:00,21.75,1.05,1.1,正常
316,D117,2026-02-18 05:15:00,21.8,1.06,1.12,波动
317,D118,2026-02-18 05:16:00,21.85,1.07,1.14,低负载
318,D119,2026-02-18 05:17:00,21.9,1.08,1.16,高负载
319,D120,2026-02-18 05:18:00,21.95,1.09,1.18,检修
320,D121,2026-02-18 05:19:00,22,1.1,1.2,正常
321,D122,2026-02-18 05:20:00,22.05,1.11,1.22,波动
322,D123,2026-02-18 05:21:00,22.1,1.12,1.24,低负载
323,D124,2026-02-18 05:22:00,22.15,1.13,1.26,高负载
324,D125,2026-02-18 05:23:00,22.2,1.14,1.28,检修
325,D126,2026-02-18 05:24:00,22.25,1.15,1.3,正常
326,D127,2026-02-18 05:25:00,22.3,1.16,1.32,波动
327,D128,2026-02-18 05:26:00,22.35,1.17,1.34,低负载
328,D129,2026-02-18 05:27:00,22.4,1.18,1.36,高负载
329,D130,2026-02-18 05:28:00,22.45,1.19,1.38,检修
330,D131,2026-02-18 05:29:00,22.5,1.2,1.4,正常
331,D132,2026-02-18 05:30:00,22.55,1.21,1.42,波动
332,D133,2026-02-18 05:31:00,22.6,1.22,1.44,低负载
333,D134,2026-02-18 05:32:00,22.65,1.23,1.46,高负载
334,D135,2026-02-18 05:33:00,22.7,1.24,1.48,检修
335,D136,2026-02-18 05:34:00,22.75,1.25,1.5,正常
336,D137,2026-02-18 05:35:00,22.8,1.26,1.52,波动
337,D138,2026-02-18 05:36:00,22.85,1.27,1.54,低负载
338,D139,2026-02-18 05:37:00,22.9,1.28,1.56,高负载
339,D140,2026-02-18 05:38:00,22.95,1.29,1.58,检修
340,D141,2026-02-18 05:39:00,23,1.3,1.6,正常
341,D142,2026-02-18 05:40:00,23.05,1.31,1.62,波动
342,D143,2026-02-18 05:41:00,23.1,1.32,1.64,低负载
343,D144,2026-02-18 05:42:00,23.15,1.33,1.66,高负载
344,D145,2026-02-18 05:43:00,23.2,1.34,1.68,检修
345,D146,2026-02-18 05:44:00,23.25,1.35,1.7,正常
346,D147,2026-02-18 05:45:00,23.3,1.36,1.72,波动
347,D148,2026-02-18 05:46:00,23.35,1.37,1.74,低负载
348,D149,2026-02-18 05:47:00,23.4,1.38,1.76,高负载
349,D150,2026-02-18 05:48:00,23.45,1.39,1.78,检修
350,D151,2026-02-18 05:49:00,23.5,0.9,1.8,正常
351,D152,2026-02-18 05:50:00,23.55,0.91,1.82,波动
352,D153,2026-02-18 05:51:00,23.6,0.92,1.84,低负载
353,D154,2026-02-18 05:52:00,23.65,0.93,1.86,高负载
354,D155,2026-02-18 05:53:00,23.7,0.94,1.88,检修
355,D156,2026-02-18 05:54:00,23.75,0.95,1.9,正常
356,D157,2026-02-18 05:55:00,23.8,0.96,1.92,波动
357,D158,2026-02-18 05:56:00,23.85,0.97,1.94,低负载
358,D159,2026-02-18 05:57:00,23.9,0.98,1.96,高负载
359,D160,2026-02-18 05:58:00,23.95,0.99,1.98,检修
360,D161,2026-02-18 05:59:00,18,1,0.8,正常
361,D162,2026-02-18 06:00:00,18.05,1.01,0.82,波动
362,D163,2026-02-18 06:01:00,18.1,1.02,0.84,低负载
363,D164,2026-02-18 06:02:00,18.15,1.03,0.86,高负载
364,D165,2026-02-18 06:03:00,18.2,1.04,0.88,检修
365,D166,2026-02-18 06:04:00,18.25,1.05,0.9,正常
366,D167,2026-02-18 06:05:00,18.3,1.06,0.92,波动
367,D168,2026-02-18 06:06:00,18.35,1.07,0.94,低负载
368,D169,2026-02-18 06:07:00,18.4,1.08,0.96,高负载
369,D170,2026-02-18 06:08:00,18.45,1.09,0.98,检修
370,D171,2026-02-18 06:09:00,18.5,1.1,1,正常
371,D172,2026-02-18 06:10:00,18.55,1.11,1.02,波动
372,D173,2026-02-18 06:11:00,18.6,1.12,1.04,低负载
373,D174,2026-02-18 06:12:00,18.65,1.13,1.06,高负载
374,D175,2026-02-18 06:13:00,18.7,1.14,1.08,检修
375,D176,2026-02-18 06:14:00,18.75,1.15,1.1,正常
376,D177,2026-02-18 06:15:00,18.8,1.16,1.12,波动
377,D178,2026-02-18 06:16:00,18.85,1.17,1.14,低负载
378,D179,2026-02-18 06:17:00,18.9,1.18,1.16,高负载
379,D180,2026-02-18 06:18:00,18.95,1.19,1.18,检修
380,D181,2026-02-18 06:19:00,19,1.2,1.2,正常
381,D182,2026-02-18 06:20:00,19.05,1.21,1.22,波动
382,D183,2026-02-18 06:21:00,19.1,1.22,1.24,低负载
383,D184,2026-02-18 06:22:00,19.15,1.23,1.26,高负载
384,D185,2026-02-18 06:23:00,19.2,1.24,1.28,检修
385,D186,2026-02-18 06:24:00,19.25,1.25,1.3,正常
386,D187,2026-02-18 06:25:00,19.3,1.26,1.32,波动
387,D188,2026-02-18 06:26:00,19.35,1.27,1.34,低负载
388,D189,2026-02-18 06:27:00,19.4,1.28,1.36,高负载
389,D190,2026-02-18 06:28:00,19.45,1.29,1.38,检修
390,D191,2026-02-18 06:29:00,19.5,1.3,1.4,正常
391,D192,2026-02-18 06:30:00,19.55,1.31,1.42,波动
392,D193,2026-02-18 06:31:00,19.6,1.32,1.44,低负载
393,D194,2026-02-18 06:32:00,19.65,1.33,1.46,高负载
394,D195,2026-02-18 06:33:00,19.7,1.34,1.48,检修
395,D196,2026-02-18 06:34:00,19.75,1.35,1.5,正常
396,D197,2026-02-18 06:35:00,19.8,1.36,1.52,波动
397,D198,2026-02-18 06:36:00,19.85,1.37,1.54,低负载
398,D199,2026-02-18 06:37:00,19.9,1.38,1.56,高负载
399,D200,2026-02-18 06:38:00,19.95,1.39,1.58,检修
400,D001,2026-02-18 06:39:00,20,0.9,1.6,正常
401,D002,2026-02-18 06:40:00,20.05,0.91,1.62,波动
402,D003,2026-02-18 06:41:00,20.1,0.92,1.64,低负载
403,D004,2026-02-18 06:42:00,20.15,0.93,1.66,高负载
404,D005,2026-02-18 06:43:00,20.2,0.94,1.68,检修
405,D006,2026-02-18 06:44:00,20.25,0.95,1.7,正常
406,D007,2026-02-18 06:45:00,20.3,0.96,1.72,波动
407,D008,2026-02-18 06:46:00,20.35,0.97,1.74,低负载
408,D009,2026-02-18 06:47:00,20.4,0.98,1.76,高负载
409,D010,2026-02-18 06:48:00,20.45,0.99,1.78,检修
410,D011,2026-02-18 06:49:00,20.5,1,1.8,正常
411,D012,2026-02-18 06:50:00,20.55,1.01,1.82,波动
412,D013,2026-02-18 06:51:00,20.6,1.02,1.84,低负载
413,D014,2026-02-18 06:52:00,20.65,1.03,1.86,高负载
414,D015,2026-02-18 06:53:00,20.7,1.04,1.88,检修
415,D016,2026-02-18 06:54:00,20.75,1.05,1.9,正常
416,D017,2026-02-18 06:55:00,20.8,1.06,1.92,波动
417,D018,2026-02-18 06:56:00,20.85,1.07,1.94,低负载
418,D019,2026-02-18 06:57:00,20.9,1.08,1.96,高负载
419,D020,2026-02-18 06:58:00,20.95,1.09,1.98,检修
